chrom1	start1	end1	chrom2	start2	end2	sample	svclass	size_bin	length	is_clustered
1	20391788	20391788	9	22451049	22451049	Synthetic_Patient2	translocation	0	2059261	False
3	77287566	77287566	1	126170054	126170054	Synthetic_Patient2	deletion	>10Mb	48882488	False
5	83057505	83057505	2	103489434	103489434	Synthetic_Patient2	deletion	>10Mb	20431929	False
3	163311366	163311366	2	77297118	77297118	Synthetic_Patient2	deletion	>10Mb	86014248	False
14	22475563	22475563	13	4299477	4299477	Synthetic_Patient2	deletion	>10Mb	18176086	False
22	87822607	87822607	13	127741498	127741498	Synthetic_Patient2	deletion	>10Mb	39918891	False
7	91783107	91783107	4	154315283	154315283	Synthetic_Patient2	deletion	>10Mb	62532176	False
11	22475563	22475563	14	22496144	22496144	Synthetic_Patient2	translocation	0	20581	False
23	83057505	83057505	5	126170054	126170054	Synthetic_Patient2	deletion	>10Mb	43112549	False
4	108099206	108099206	2	77297118	77297118	Synthetic_Patient2	deletion	>10Mb	30802088	False
1	47215854	47215854	11	37127017	37127017	Synthetic_Patient2	tandem-duplication	>10Mb	10088837	False
5	37117122	37117122	14	22451049	22451049	Synthetic_Patient2	translocation	0	14666073	False
1	47215854	47215854	14	22451049	22451049	Synthetic_Patient2	deletion	>10Mb	24764805	False
22	163311366	163311366	1	87826934	87826934	Synthetic_Patient2	deletion	>10Mb	75484432	False
5	22151344	22151344	11	22141860	22141860	Synthetic_Patient2	deletion	1-10Kb	9484	False
