sample	chromosome	chromosome_start	chromosome_end	copy_number	mutation_type
Synthetic_Patient1	21	92676343	112263535	3	gain
Synthetic_Patient1	7	88027350	92014202	1	loss
Synthetic_Patient1	1	34114989	54550171	3	gain
Synthetic_Patient1	6	154430085	154427175	1	loss
Synthetic_Patient1	5	89934475	95213281	1	loss
Synthetic_Patient1	7	89934475	154427175	2	copy neutral
Synthetic_Patient1	4	154430085	112263535	3	gain
Synthetic_Patient1	3	39493048	33994569	2	copy neutral
Synthetic_Patient1	5	40959415	29126411	3	gain
Synthetic_Patient1	7	92017586	109610616	1	loss
Synthetic_Patient1	5	70821512	62502633	2	copy neutral
Synthetic_Patient1	7	70821512	180991554	1	loss
Synthetic_Patient1	13	92676343	159334984	3	gain
Synthetic_Patient1	1	34114989	23881465	2	copy neutral
Synthetic_Patient1	13	84667840	89932355	1	loss
Synthetic_Patient1	5	144146157	113054665	3	gain
Synthetic_Patient1	17	109619453	144137812	1	loss
Synthetic_Patient1	3	930198	28377312	2	copy neutral
Synthetic_Patient1	5	144689308	112263535	3	gain
Synthetic_Patient1	1	40959415	29126411	1	loss
Synthetic_Patient1	4	930198	40956367	2	copy neutral
Synthetic_Patient1	1	36161409	73804209	4	gain
Synthetic_Patient1	23	2579724	54550171	3	gain
Synthetic_Patient1	6	81008575	89932355	1	loss
Synthetic_Patient1	13	109619453	159334984	3	gain
Synthetic_Patient1	13	84667840	80999819	3	gain
Synthetic_Patient1	23	92676343	112263535	3	gain
Synthetic_Patient1	3	45227209	39487341	2	copy neutral
Synthetic_Patient1	6	33998775	42051978	1	loss
