sample	chromosome	start	end	segVal
Synthetic_Patient9	1	2856466	23881465	2.35275522722839
Synthetic_Patient9	1	28377312	39493048	0.851824360342982
Synthetic_Patient9	1	28377312	45227209	2.41186185381967
Synthetic_Patient9	1	28377312	42052529	3.3492234555198
Synthetic_Patient9	1	28377312	39493048	2.60492346590646
Synthetic_Patient9	1	29126411	42052529	1.46770643929077
Synthetic_Patient9	1	40956367	40959415	2.28526193730479
Synthetic_Patient9	1	54563285	62502633	1.03269928314502
Synthetic_Patient9	13	14568	29126411	1.03269928314502
Synthetic_Patient9	13	2579724	73804209	1.04124488365585
Synthetic_Patient9	13	13249996	42051978	1.01961672602218
Synthetic_Patient9	13	84667840	89932355	3.97613134214632
Synthetic_Patient9	13	112266967	114364328	1.01961672602218
Synthetic_Patient9	3	930198	73804209	2.35275522722839
Synthetic_Patient9	3	29126411	36161409	2.23629228716268
Synthetic_Patient9	3	36161409	40956367	1.04124488365585
Synthetic_Patient9	3	45227209	54550171	1.56009765330438
Synthetic_Patient9	4	144689308	159334984	1.56009765330438
Synthetic_Patient9	5	2856466	32307917	1.03613695344942
Synthetic_Patient9	5	70821500	92674023	1.01961672602218
Synthetic_Patient9	5	95216851	144682401	2.90713077290842
Synthetic_Patient9	5	144689308	170739897	2.95735461577801
Synthetic_Patient9	6	95216851	112263535	1.01961672602218
Synthetic_Patient9	7	57042204	81008575	3.97613134214632
Synthetic_Patient9	7	89934475	113054665	1.04124488365585
Synthetic_Patient9	X	2579724	45223687	2.41186185381967
Synthetic_Patient9	X	60445159	92014202	2.41186185381967
Synthetic_Patient9	X	84667840	92674023	1.04124488365585
