sample	chromosome	start	end	segVal
Synthetic_Patient6	1	2856466	23881465	2.29510479603484
Synthetic_Patient6	1	34114989	54550171	1.56009765330438
Synthetic_Patient6	1	54333990	92674023	2.41186185381967
Synthetic_Patient6	12	14568	49590440	1.04326530251739
Synthetic_Patient6	12	112263535	112266967	1.03613695344942
Synthetic_Patient6	13	2579724	29126411	2.28526193730479
Synthetic_Patient6	13	92676343	95213281	2.90713077290842
Synthetic_Patient6	3	28377312	34114989	2.28526193730479
Synthetic_Patient6	3	40956367	40959415	2.55224825798257
Synthetic_Patient6	3	42052529	54550171	1.46770643929077
Synthetic_Patient6	3	42052529	45223687	1.01961672602218
Synthetic_Patient6	3	42052529	73804209	2.23629228716268
Synthetic_Patient6	3	54333990	80999819	2.35275522722839
Synthetic_Patient6	4	54333990	80999819	2.60492346590646
Synthetic_Patient6	5	28377312	39493048	2.29510479603484
Synthetic_Patient6	5	88027350	89932355	2.95735461577801
Synthetic_Patient6	5	89934475	95213281	2.86866618946436
Synthetic_Patient6	5	89934475	180930584	1.04124488365585
Synthetic_Patient6	5	92017586	170739897	2.86866618946436
Synthetic_Patient6	5	92017586	112263535	1.73944003812551
Synthetic_Patient6	5	92017586	159334984	1.73944003812551
Synthetic_Patient6	5	95213281	154430085	3.04651645789794
Synthetic_Patient6	6	96024675	144137812	2.9225483180617
Synthetic_Patient6	6	96024675	144682401	3.8291611634801
Synthetic_Patient6	7	70821500	92674023	1.04326530251739
Synthetic_Patient6	7	144689308	154427175	1.01961672602218
Synthetic_Patient6	X	14568	39487341	2.60492346590646
Synthetic_Patient6	X	13249996	49590440	1.0226210207477
Synthetic_Patient6	X	92676343	154427175	1.15669023522621
