sample	chromosome	start	end	segVal
Synthetic_Patient5	1	2856466	36154423	3.3492234555198
Synthetic_Patient5	1	2856466	54550171	1.56009765330438
Synthetic_Patient5	1	33998775	40956367	1.56009765330438
Synthetic_Patient5	1	40959415	45223687	1.56009765330438
Synthetic_Patient5	1	42052529	73804209	1.15669023522621
Synthetic_Patient5	1	54563285	180991554	2.60492346590646
Synthetic_Patient5	12	14568	29126411	1.01961672602218
Synthetic_Patient5	13	14568	73804209	3.3492234555198
Synthetic_Patient5	13	2579724	73804209	1.03269928314502
Synthetic_Patient5	21	14568	45223687	1.04326530251739
Synthetic_Patient5	3	23881465	42052529	2.28526193730479
Synthetic_Patient5	3	40956367	45227209	2.28526193730479
Synthetic_Patient5	4	144146157	154427175	1.73944003812551
Synthetic_Patient5	5	29126411	33998775	2.82670795192467
Synthetic_Patient5	5	54563285	92014202	1.73944003812551
Synthetic_Patient5	5	89934475	154427175	2.9225483180617
Synthetic_Patient5	5	95213281	144146157	1.46770643929077
Synthetic_Patient5	5	95213281	154430085	1.03613695344942
Synthetic_Patient5	5	95216851	109610616	3.17663000065947
Synthetic_Patient5	5	112263535	154430085	1.0226210207477
Synthetic_Patient5	5	154430085	159334984	2.86866618946436
Synthetic_Patient5	6	92017586	112263535	2.9225483180617
Synthetic_Patient5	7	57042204	88027350	2.90713077290842
Synthetic_Patient5	7	62502633	88027350	3.17663000065947
Synthetic_Patient5	7	88027350	89932355	2.95735461577801
Synthetic_Patient5	7	96024675	144682401	1.04124488365585
Synthetic_Patient5	7	96024675	113054665	2.90713077290842
Synthetic_Patient5	7	144146157	159345973	2.90713077290842
Synthetic_Patient5	X	13249996	28377312	2.35275522722839
Synthetic_Patient5	X	60445159	156040895	2.23629228716268
