#Id	Chromosome	Start	End	Width	Type	fractionalCopyNumber	CopyNumber	Confidence	AlleleFreq	Mask_overlap_fract	Algorithm
94	13	109610616	109619453	536244	loss	1.03613695344942	1	1	0.461274159030851	0.0717946720260567	Region-based
41	5	109610616	144689308	16934273	gain	2.86866618946436	4	1	0.479377558172074	0.104815168654557	Region-based
34	7	36161409	39487341	1092563	gain	2.28526193730479	2	0.999999882457457	0.281227909457752	0	Region-based
10	1	930198	54550171	15876415	loss	1.01961672602218	1	0.999999999999999	0.266146780354615	0.0405792412244605	Region-based
10	1	33994569	39493048	1463319	gain	2.28526193730479	2	0.992020899601001	0.219951173347812	0	Region-based
57	5	113054665	154430085	787698	gain	3.17663000065947	3	1	0.523258228948969	0.218540608202636	Region-based
25	3	39493048	42051978	9322962	loss	1.03269928314502	1	0.999999999999999	0.205930926909833	0.0162454699121712	Region-based
173	17	2579724	32307917	22951267	loss	1.46770643929077	1	1	0.432597388497118	0	Region-based
11	1	54563285	89932355	3986852	loss	1.04326530251739	1	0.999999999999999	0.147552398017418	0.0162454699121712	Region-based
58	7	144682401	154430085	8923780	gain	3.17663000065947	3	1	0.588315000329735	0.262095240226464	Region-based
56	4	92017586	144137812	536244	loss	1.04124488365585	1	1	0.483650358427489	0	Region-based
50	6	57042204	81008575	12809060	gain	3.17663000065947	4	1	0.523258228948969	0	Region-based
50	7	96024675	109610616	37642800	gain	2.86866618946436	3	1	0.453565386454208	0	Region-based
6	1	21185509	42051978	2057474	gain	2.23629228716268	2	1	0.219951173347812	0	Region-based
96	13	84667840	114364328	58402500	gain	2.9225483180617	4	1	0.478677307889005	0	Region-based
11	3	45227209	49590440	2478919	loss	1.04124488365585	1	0.999942145834069	0.142630968652394	0	Region-based
11	3	23881465	42052529	2155648	gain	2.55224825798257	3	0.999997253356092	0.413353975962337	0	Region-based
7	1	28377312	33998775	1092563	gain	3.3492234555198	4	1	0.988065671073161	0	Region-based
36	5	40959415	54550171	1463319	gain	2.55224825798257	3	1	0.281227909457752	0	Region-based
41	5	95216851	154427175	90996109	gain	2.95735461577801	3	1	0.478677307889005	0	Region-based
59	7	92017586	112263535	3195695	loss	1.0226210207477	1	1	0.434333094732178	0.00318736589628394	Region-based
127	13	92676343	113054665	3986852	gain	2.95735461577801	4	1	0.453565386454208	0	Region-based
43	6	109610616	144146157	48920961	gain	2.95735461577801	3	1	0.49019163698891	0.0717946720260567	Region-based
60	5	95213281	144689308	8923780	gain	3.04651645789794	3	1	0.674611727759902	0.0717946720260567	Region-based
97	13	84667840	89932355	8006183	gain	3.97613134214632	4	1	0.988065671073161	0	Region-based
59	4	109610616	144689308	8923780	loss	1.03613695344942	1	1	0.478367348741306	0.042357201910114	Region-based
153	13	13249996	54550171	29451451	loss	1.73944003812551	2	1	0.488689489626151	0.0918171400112001	Region-based
49	7	80999819	81008575	787698	gain	2.86866618946436	3	1	0.453565386454208	0	Region-based
36	7	54333990	159345973	16309812	gain	2.5624558189155	3	1	0.147552398017418	0	Region-based
59	7	95213281	144146157	37642800	gain	2.95735461577801	3	1	0.49019163698891	0.104815168654557	Region-based
