sample	chromosome	start	end	segVal
Synthetic_Patient7	1	930198	32307917	1.46770643929077
Synthetic_Patient7	1	2856466	45223687	2.5624558189155
Synthetic_Patient7	1	21185509	28377312	2.35275522722839
Synthetic_Patient7	1	21185509	45223687	2.5624558189155
Synthetic_Patient7	1	28377312	36161409	2.41186185381967
Synthetic_Patient7	1	33994569	40959415	3.3492234555198
Synthetic_Patient7	1	34114989	49590440	2.82670795192467
Synthetic_Patient7	1	39487341	39493048	2.55224825798257
Synthetic_Patient7	13	14568	29126411	1.04326530251739
Synthetic_Patient7	13	57042204	60445159	1.46770643929077
Synthetic_Patient7	13	84667840	92674023	0.851824360342982
Synthetic_Patient7	13	84667840	92014202	1.04124488365585
Synthetic_Patient7	17	60445159	80999819	1.04326530251739
Synthetic_Patient7	3	33998775	39487341	2.35275522722839
Synthetic_Patient7	3	40959415	73804209	2.28526193730479
Synthetic_Patient7	4	89934475	95213281	2.9225483180617
Synthetic_Patient7	5	88027350	180991554	3.97613134214632
Synthetic_Patient7	5	89934475	113054665	1.46770643929077
Synthetic_Patient7	5	95213281	95216851	2.9225483180617
Synthetic_Patient7	6	92017586	113054665	3.04651645789794
Synthetic_Patient7	6	96024675	159334984	1.56009765330438
Synthetic_Patient7	7	33998775	45223687	2.60492346590646
Synthetic_Patient7	7	81008575	92674023	2.9225483180617
Synthetic_Patient7	7	89934475	159334984	2.9225483180617
Synthetic_Patient7	7	96024675	112263535	1.03613695344942
Synthetic_Patient7	7	96024675	113054665	1.01961672602218
Synthetic_Patient7	X	13249996	28377312	2.60492346590646
