sample	chromosome	start	end	segVal
Synthetic_Patient2	1	930198	33994569	0.851824360342982
Synthetic_Patient2	1	36154423	40959415	2.41186185381967
Synthetic_Patient2	1	36161409	73804209	2.23629228716268
Synthetic_Patient2	13	14568	33994569	0.851824360342982
Synthetic_Patient2	13	13249996	42051978	2.29510479603484
Synthetic_Patient2	13	92676343	95213281	1.46770643929077
Synthetic_Patient2	13	92676343	114364328	3.8291611634801
Synthetic_Patient2	21	14568	29126411	1.46770643929077
Synthetic_Patient2	3	28377312	42052529	2.28526193730479
Synthetic_Patient2	3	33994569	33998775	1.04326530251739
Synthetic_Patient2	5	70821500	80999819	3.17663000065947
Synthetic_Patient2	5	70821500	89932355	3.17663000065947
Synthetic_Patient2	5	88027350	89932355	0.851824360342982
Synthetic_Patient2	5	92017586	95213281	3.8291611634801
Synthetic_Patient2	5	95213281	144689308	2.86866618946436
Synthetic_Patient2	5	95213281	96024675	2.86866618946436
Synthetic_Patient2	5	96024675	113054665	2.86866618946436
Synthetic_Patient2	5	109610616	144689308	2.90713077290842
Synthetic_Patient2	5	109610616	154430085	2.90713077290842
Synthetic_Patient2	5	112263535	144689308	3.17663000065947
Synthetic_Patient2	6	40956367	40959415	2.60492346590646
Synthetic_Patient2	6	57042204	81008575	2.95735461577801
Synthetic_Patient2	7	80999819	88027350	3.17663000065947
Synthetic_Patient2	7	92017586	113054665	1.46770643929077
Synthetic_Patient2	7	96024675	159345973	3.8291611634801
Synthetic_Patient2	X	92676343	113054665	3.8291611634801
