sample	chromosome	start	end	segVal
Synthetic_Patient3	1	36154423	42052529	1.03613695344942
Synthetic_Patient3	1	36161409	49590440	2.41186185381967
Synthetic_Patient3	1	36161409	40956367	2.35275522722839
Synthetic_Patient3	1	54333990	180991554	1.03269928314502
Synthetic_Patient3	1	54333990	180991554	2.55224825798257
Synthetic_Patient3	13	13249996	29126411	2.60492346590646
Synthetic_Patient3	13	60445159	89932355	1.15669023522621
Synthetic_Patient3	13	109610616	112266967	1.03613695344942
Synthetic_Patient3	13	112266967	114364328	1.01961672602218
Synthetic_Patient3	17	60445159	83257441	1.03613695344942
Synthetic_Patient3	3	2856466	28377312	1.04326530251739
Synthetic_Patient3	3	21185509	73804209	1.03613695344942
Synthetic_Patient3	3	29126411	34114989	2.5624558189155
Synthetic_Patient3	5	33994569	39493048	2.23629228716268
Synthetic_Patient3	5	57042204	70821500	2.86866618946436
Synthetic_Patient3	5	89934475	154427175	3.04651645789794
Synthetic_Patient3	5	89934475	170739897	1.56009765330438
Synthetic_Patient3	5	92017586	113054665	3.8291611634801
Synthetic_Patient3	5	95216851	109610616	1.03269928314502
Synthetic_Patient3	5	95216851	144682401	1.03269928314502
Synthetic_Patient3	5	96024675	109610616	2.90713077290842
Synthetic_Patient3	5	96024675	154427175	0.851824360342982
Synthetic_Patient3	5	154427175	154430085	3.04651645789794
Synthetic_Patient3	6	88027350	92014202	2.95735461577801
Synthetic_Patient3	6	109610616	144146157	1.03613695344942
Synthetic_Patient3	7	89934475	112263535	1.73944003812551
Synthetic_Patient3	7	95216851	159345973	1.0226210207477
Synthetic_Patient3	7	96024675	159334984	1.46770643929077
Synthetic_Patient3	7	113054665	144146157	2.90713077290842
