#Id	Chromosome	Start	End	Width	Type	fractionalCopyNumber	CopyNumber	Confidence	AlleleFreq	Mask_overlap_fract	Algorithm
11	1	21185509	28377312	2057474	gain	2.35275522722839	2	1	0.413353975962337	0	Region-based
94	13	57042204	60445159	9322962	loss	1.46770643929077	1	0.999999994917475	0.413353975962337	0.0162454699121712	Region-based
49	7	96024675	112263535	37642800	loss	1.03613695344942	1	1	0.574087819828509	0	Region-based
95	13	84667840	92674023	3195695	loss	0.851824360342982	1	0.999999994917475	0.478677307889005	0.00318736589628394	Region-based
95	13	14568	29126411	47010716	loss	1.04326530251739	1	1	0.30246173295323	0.0204804474792513	Region-based
9	1	33994569	40959415	12809060	gain	3.3492234555198	4	0.999942145834069	0.523258228948969	0	Region-based
96	17	92676343	83257441	2644082	loss	1.56009765330438	2	1	0.434333094732178	0	Region-based
58	5	89934475	113054665	16934273	loss	1.46770643929077	1	1	0.574087819828509	0	Region-based
9	1	34114989	49590440	9322962	gain	2.82670795192467	3	0.999999999999999	0.219951173347812	0	Region-based
7	1	28377312	36161409	2057474	gain	2.41186185381967	2	0.992020899601001	0.118146143581339	0	Region-based
97	17	60445159	80999819	48920961	loss	1.04326530251739	1	1	0.142630968652394	0	Region-based
41	6	96024675	159334984	90996109	loss	1.56009765330438	2	1	0.479377558172074	0	Region-based
49	7	89934475	159334984	90996109	gain	2.9225483180617	3	1	0.461274159030851	0	Region-based
10	3	33998775	39487341	5372352	gain	2.35275522722839	2	0.996484496306704	0.276124128991283	0	Region-based
60	5	88027350	180991554	14645676	gain	3.97613134214632	3	1	0.914580581740049	0	Region-based
90	17	92676343	83257441	2644082	gain	2.9225483180617	3	0.999999994917475	0.479377558172074	0	Region-based
95	23	13249996	28377312	29451451	gain	2.60492346590646	3	1	0.30246173295323	0.0918171400112001	Region-based
60	4	89934475	95213281	16934273	gain	2.9225483180617	3	1	0.421654882386895	0	Region-based
34	7	33998775	45223687	2155648	gain	2.60492346590646	3	1	0.147552398017418	0	Region-based
60	7	81008575	92674023	3986852	gain	2.9225483180617	3	0.999999994917475	0.478677307889005	0	Region-based
57	6	92017586	113054665	8923780	gain	3.04651645789794	3	1	0.914580581740049	0	Region-based
58	7	96024675	113054665	787698	loss	1.01961672602218	1	1	0.479377558172074	0	Region-based
9	1	21185509	45223687	12809060	gain	2.5624558189155	3	0.996484496306704	0.205930926909833	0	Region-based
25	1	2856466	45223687	22951267	gain	2.5624558189155	3	0.999999882457457	0.481931523275292	0	Region-based
90	13	84667840	92014202	10178307.5	loss	1.04124488365585	1	0.999999994917475	0.478677307889005	0.0162454699121712	Region-based
43	5	95213281	95216851	16934273	gain	2.9225483180617	3	1	0.483650358427489	0	Region-based
11	1	39487341	39493048	1092563	gain	2.55224825798257	3	0.996484496306704	0.118146143581339	0	Region-based
26	3	40959415	73804209	536244	gain	2.28526193730479	2	0.999999882457457	0.176377613614197	0	Region-based
24	1	930198	32307917	15876415	loss	1.46770643929077	1	0.996484496306704	0.481931523275292	0.0307925072411894	Region-based
