sample	chromosome	start	end	segVal
Synthetic_Patient10	1	930198	36154423	2.28526193730479
Synthetic_Patient10	1	21185509	73804209	2.41186185381967
Synthetic_Patient10	1	36154423	40959415	1.03613695344942
Synthetic_Patient10	1	39487341	39493048	1.46770643929077
Synthetic_Patient10	1	54333990	180991554	2.28526193730479
Synthetic_Patient10	1	54333990	92674023	2.28526193730479
Synthetic_Patient10	1	54563285	92014202	1.15669023522621
Synthetic_Patient10	13	60445159	92674023	1.56009765330438
Synthetic_Patient10	13	109610616	109619453	0.851824360342982
Synthetic_Patient10	13	109619453	113054665	3.04651645789794
Synthetic_Patient10	21	2579724	29126411	3.3492234555198
Synthetic_Patient10	3	2856466	39487341	2.5624558189155
Synthetic_Patient10	3	23881465	39493048	1.01961672602218
Synthetic_Patient10	3	33998775	42051978	2.41186185381967
Synthetic_Patient10	3	36161409	39487341	2.35275522722839
Synthetic_Patient10	3	54333990	92014202	2.5624558189155
Synthetic_Patient10	5	54563285	92014202	2.23629228716268
Synthetic_Patient10	5	88027350	92674023	1.56009765330438
Synthetic_Patient10	5	95216851	159334984	3.17663000065947
Synthetic_Patient10	6	57042204	70821500	2.9225483180617
Synthetic_Patient10	7	57042204	88027350	2.86866618946436
Synthetic_Patient10	7	62502633	70821500	1.46770643929077
Synthetic_Patient10	7	89934475	144682401	2.86866618946436
Synthetic_Patient10	7	144146157	154427175	2.90713077290842
Synthetic_Patient10	7	144682401	144689308	1.03269928314502
Synthetic_Patient10	X	2579724	36154423	2.41186185381967
Synthetic_Patient10	X	92676343	156040895	1.73944003812551
