sample	chromosome	start	end	segVal
Synthetic_Patient7	1	930198	32307917	1
Synthetic_Patient7	1	2856466	45223687	3
Synthetic_Patient7	1	21185509	28377312	2
Synthetic_Patient7	1	21185509	45223687	3
Synthetic_Patient7	1	34114989	49590440	3
Synthetic_Patient7	13	14568	29126411	1
Synthetic_Patient7	13	84667840	92674023	1
Synthetic_Patient7	13	84667840	92014202	1
Synthetic_Patient7	17	60445159	80999819	1
Synthetic_Patient7	17	92676343	112263535	2
Synthetic_Patient7	17	92676343	112263535	3
Synthetic_Patient7	3	33998775	39487341	2
Synthetic_Patient7	3	40959415	73804209	2
Synthetic_Patient7	4	89934475	95213281	3
Synthetic_Patient7	5	88027350	180991554	3
Synthetic_Patient7	5	89934475	113054665	1
Synthetic_Patient7	6	92017586	113054665	3
Synthetic_Patient7	6	96024675	159334984	2
Synthetic_Patient7	7	33998775	45223687	3
Synthetic_Patient7	7	81008575	92674023	3
Synthetic_Patient7	7	89934475	159334984	3
Synthetic_Patient7	7	96024675	112263535	1
Synthetic_Patient7	7	96024675	113054665	1
Synthetic_Patient7	X	13249996	28377312	3
