#Id	Chromosome	Start	End	Width	Type	fractionalCopyNumber	CopyNumber	Confidence	AlleleFreq	Mask_overlap_fract	Algorithm
50	6	57042204	7.08215e+07	2155648	gain	2.9225483180617	4	1	0.461274159030851	0	Region-based
11	3	54333990	92014202	37642800	gain	2.5624558189155	3	0.999999882457457	0.219951173347812	0	Region-based
94	13	109619453	113054665	787698	gain	3.04651645789794	4	1	0.914580581740049	0.218540608202636	Region-based
42	7	144146157	154427175	16309812	gain	2.90713077290842	3	1	0.49019163698891	0.0717946720260567	Region-based
24	1	39487341	39493048	3171158	loss	1.46770643929077	1	0.999942145834069	0.147552398017418	0	Region-based
9	1	930198	36154423	29451451	gain	2.28526193730479	2	0.996484496306704	0.30246173295323	0.0405792412244605	Region-based
7	3	2856466	39487341	22951267	gain	2.5624558189155	3	0.996484496306704	0.266146780354615	0	Region-based
173	13	109610616	109619453	37642800	loss	0.851824360342982	1	1	0.478367348741306	0.104815168654557	Region-based
6	3	33998775	42051978	3171158	gain	2.41186185381967	2	0.999999999999988	0.413353975962337	0	Region-based
4	3	36161409	39487341	9322962	gain	2.35275522722839	2	0.99246101773383	0.413353975962337	0	Region-based
11	1	54563285	92014202	787698	loss	1.15669023522621	1	0.999999882457457	0.142630968652394	0.00318736589628394	Region-based
50	7	89934475	144682401	48920961	gain	2.86866618946436	3	0.999999999999985	0.574087819828509	0	Region-based
7	1	54333990	180991554	16309812	gain	2.28526193730479	2	1	0.142630968652394	0	Region-based
58	5	88027350	92674023	16934273	loss	1.56009765330438	2	1	0.483650358427489	0.0162454699121712	Region-based
90	21	2579724	29126411	28362744	gain	3.3492234555198	3	1	0.988065671073161	0.0918171400112001	Region-based
26	3	23881465	39493048	12809060	loss	1.01961672602218	1	0.996484496306704	0.118146143581339	0.0177452187405676	Region-based
25	1	54333990	92674023	2644082	gain	2.28526193730479	2	0.999999882457457	0.205930926909833	0	Region-based
7	1	21185509	73804209	3986852	gain	2.41186185381967	2	1	0.118146143581339	0	Region-based
34	5	54563285	92014202	10178307.5	gain	2.23629228716268	2	0.996484496306704	0.142630968652394	0.00290813533576474	Region-based
26	1	36154423	40959415	9322962	loss	1.03613695344942	1	1	0.147552398017418	0.0162454699121712	Region-based
97	13	60445159	92674023	536244	loss	1.56009765330438	2	1	0.142630968652394	0.0162454699121712	Region-based
95	23	2579724	36154423	29451451	gain	2.41186185381967	2	1	0.432597388497118	0.0405792412244605	Region-based
49	7	62502633	7.08215e+07	12809060	loss	1.46770643929077	1	1	0.461274159030851	0.00318736589628394	Region-based
59	7	144682401	144689308	3195695	loss	1.03269928314502	1	1	0.421654882386895	0.042357201910114	Region-based
41	7	57042204	88027350	2057474	gain	2.86866618946436	4	0.999999995818888	0.434333094732178	0	Region-based
127	21	112266967	46709983	48920961	loss	1.46770643929077	1	0.999999999999985	0.49019163698891	0.0717946720260567	Region-based
97	23	92676343	156040895	90996109	loss	1.73944003812551	2	0.999999994917475	0.574087819828509	0.0177452187405676	Region-based
50	5	95216851	159334984	90996109	gain	3.17663000065947	3	0.999999994917475	0.523258228948969	0	Region-based
