#Id	Chromosome	Start	End	Width	Type	fractionalCopyNumber	CopyNumber	Confidence	AlleleFreq	Mask_overlap_fract	Algorithm
60	7	88027350	89932355	37642800	gain	2.95735461577801	3	0.999999999999985	0.453565386454208	0	Region-based
25	1	2856466	36154423	29451451	gain	3.3492234555198	3	0.999999882457457	0.588315000329735	0.0204804474792513	Region-based
59	4	144146157	154427175	90996109	loss	1.73944003812551	2	1	0.478677307889005	0.104815168654557	Region-based
60	5	112263535	154430085	10178307.5	loss	1.0226210207477	1	1	0.479377558172074	0.104815168654557	Region-based
94	23	13249996	28377312	28362744	gain	2.35275522722839	2	1	0.432597388497118	0.0307925072411894	Region-based
41	7	96024675	144682401	8006183	loss	1.04124488365585	1	1	0.49019163698891	0.00318736589628394	Region-based
57	5	95213281	144146157	8923780	loss	1.46770643929077	1	0.999999999999985	0.453565386454208	0.042357201910114	Region-based
42	6	92017586	112263535	10178307.5	gain	2.9225483180617	4	1	0.479377558172074	0	Region-based
41	5	95213281	154430085	8923780	loss	1.03613695344942	1	1	0.49019163698891	0.262095240226464	Region-based
49	7	96024675	113054665	8006183	gain	2.90713077290842	3	1	0.49019163698891	0	Region-based
11	3	40956367	45227209	2057474	gain	2.28526193730479	2	0.999999882457457	0.276124128991283	0	Region-based
95	13	14568	73804209	22951267	gain	3.3492234555198	3	1	0.523258228948969	0	Region-based
26	1	33998775	40956367	1463319	loss	1.56009765330438	2	0.999999999999999	0.118146143581339	0	Region-based
36	5	54563285	92014202	48920961	loss	1.73944003812551	2	1	0.118146143581339	0.00290813533576474	Region-based
4	1	40959415	45223687	9322962	loss	1.56009765330438	2	0.999999999999988	0.413353975962337	0	Region-based
96	23	60445159	156040895	14645676	gain	2.23629228716268	2	1	0.147552398017418	0.0162454699121712	Region-based
95	13	2579724	73804209	28362744	loss	1.03269928314502	1	1	0.481931523275292	0.0405792412244605	Region-based
57	5	89934475	154427175	16309812	gain	2.9225483180617	3	1	0.478367348741306	0	Region-based
43	5	95216851	109610616	3195695	gain	3.17663000065947	3	1	0.988065671073161	0	Region-based
4	1	2856466	54550171	29451451	loss	1.56009765330438	2	0.999997253356092	0.266146780354615	0.0307925072411894	Region-based
36	5	29126411	33998775	3171158	gain	2.82670795192467	3	1	0.276124128991283	0	Region-based
41	7	144146157	159345973	126657564	gain	2.90713077290842	3	0.999999995818888	0.479377558172074	0.218540608202636	Region-based
96	12	14568	29126411	29451451	loss	1.01961672602218	1	1	0.488689489626151	0.0918171400112001	Region-based
41	7	57042204	88027350	2155648	gain	2.90713077290842	4	1	0.421654882386895	0	Region-based
127	21	14568	45223687	29451451	loss	1.04326530251739	1	1	0.30246173295323	0.0307925072411894	Region-based
7	3	23881465	42052529	12809060	gain	2.28526193730479	2	0.999997253356092	0.142630968652394	0	Region-based
42	7	62502633	88027350	1092563	gain	3.17663000065947	3	1	0.988065671073161	0	Region-based
6	1	54563285	180991554	58402500	gain	2.60492346590646	4	0.999999999999999	0.142630968652394	0	Region-based
7	1	42052529	73804209	10178307.5	loss	1.15669023522621	1	0.999999999999999	0.176377613614197	0.00290813533576474	Region-based
42	5	154430085	159334984	14645676	gain	2.86866618946436	3	1	0.434333094732178	0.104815168654557	Region-based
