sample	chromosome	start	end	segVal
Synthetic_Patient1	1	23881465	34114989	2.35275522722839
Synthetic_Patient1	1	29126411	40959415	1.04326530251739
Synthetic_Patient1	1	34114989	54550171	2.5624558189155
Synthetic_Patient1	1	36161409	73804209	2.55224825798257
Synthetic_Patient1	13	80999819	84667840	3.17663000065947
Synthetic_Patient1	13	84667840	89932355	1.15669023522621
Synthetic_Patient1	13	92676343	114364328	2.86866618946436
Synthetic_Patient1	13	109619453	114364328	3.04651645789794
Synthetic_Patient1	3	930198	28377312	2.28526193730479
Synthetic_Patient1	3	33994569	39493048	2.28526193730479
Synthetic_Patient1	3	39487341	45227209	1.73944003812551
Synthetic_Patient1	4	930198	40956367	2.41186185381967
Synthetic_Patient1	4	112263535	154430085	3.04651645789794
Synthetic_Patient1	5	29126411	40959415	2.55224825798257
Synthetic_Patient1	5	62502633	70821500	1.73944003812551
Synthetic_Patient1	5	89934475	95213281	1.46770643929077
Synthetic_Patient1	5	112263535	144689308	3.8291611634801
Synthetic_Patient1	5	113054665	144146157	2.86866618946436
Synthetic_Patient1	6	33998775	42051978	1.04124488365585
Synthetic_Patient1	6	81008575	89932355	1.03613695344942
Synthetic_Patient1	6	154427175	154430085	0.851824360342982
Synthetic_Patient1	7	88027350	92014202	1.01961672602218
Synthetic_Patient1	7	89934475	154427175	1.56009765330438
Synthetic_Patient1	7	92017586	109610616	1.01961672602218
Synthetic_Patient1	X	2579724	54550171	2.60492346590646
Synthetic_Patient1	X	92676343	112263535	3.04651645789794
